Generation 1
Mutation Rate : 0.20850000000000016
Rank of TT 1689308723 :25
Rank of TT 1689308723 :25
Rank of TT 1689308723 :25
Rank of TT 1689308723 :25
Rank of TT 1689308723 :25
Rank of TT 1047500040 :45
Rank of TT 1998957400 :47
Rank of TT 1998957400 :47
Rank of TT 1998957400 :47
Rank of TT 1526751478 :45
Rank of TT 1526751478 :45
Rank of TT 1526751478 :45
Rank of TT 1689308723 :25
Rank of TT 1047500040 :45
Rank of TT 1689308723 :25
Rank of TT 1689308723 :25
Rank of TT 1526751478 :45
Rank of TT 1047500040 :45
Rank of TT 1689308723 :25
Rank of TT 1767437175 :29

Generation 1
Mutation Rate : 0.21600000000000016
Rank of TT 1689308723 :26
Rank of TT 1047500040 :45
Rank of TT 1526751478 :45
Rank of TT 1526751478 :45
Rank of TT 1689308723 :26
Rank of TT 1047500040 :45
Rank of TT 1689308723 :26
Rank of TT 1047500040 :45
Rank of TT 1047500040 :45
Rank of TT 1526751478 :45
Rank of TT 1526751478 :45
Rank of TT 1689308723 :26
Rank of TT 1689308723 :26
Rank of TT 1526751478 :45
Rank of TT 1047500040 :45
Rank of TT 1047500040 :45
Rank of TT 1689308723 :26
Rank of TT 1689308723 :26
Rank of TT 1197897220 :46
Rank of TT 595360017 :30
Generation 1
