Generation 2
Mutation Rate : 0.0015
Rank of TT 610849400 :29
Rank of TT 734471983 :51
Rank of TT 1689308723 :33
Rank of TT 610849400 :29
Rank of TT 1034867797 :49
Rank of TT 1689308723 :33
Rank of TT 1673555829 :49
Rank of TT 610849400 :29
Rank of TT 1689308723 :33
Rank of TT 1034867797 :49
Rank of TT 855074155 :49
Rank of TT 855074155 :49
Rank of TT 610849400 :29
Rank of TT 1034867797 :49
Rank of TT 1576386386 :50
Rank of TT 855074155 :49
Rank of TT 1034867797 :49
Rank of TT 1034867797 :49
Rank of TT 1034867797 :49
Rank of TT 610849400 :29
Rank of TT 1576386386 :50
Rank of TT 488799691 :53
Rank of TT 610849400 :28
Generation 2
Mutation Rate : 0.04500000000000002
Rank of TT 610849400 :27
Rank of TT 610849400 :27
Rank of TT 516702854 :35
Rank of TT 371341556 :40
Rank of TT 610849400 :27
Rank of TT 610849400 :27
Rank of TT 311638389 :36
Rank of TT 311638389 :36
Rank of TT 516702854 :35
Rank of TT 371341556 :40
Rank of TT 897507615 :41
Rank of TT 516702854 :35
Rank of TT 610849400 :27
Rank of TT 371341556 :40
Rank of TT 610849400 :27
Rank of TT 311638389 :36
Rank of TT 516702854 :35
Rank of TT 311638389 :36
Rank of TT 371341556 :40
Rank of TT 610849400 :29
Generation 2
Mutation Rate : 0.12450000000000008
Rank of TT 1451853051 :29
Rank of TT 662374976 :41
Rank of TT 1451853051 :29
Rank of TT 1278722521 :41
Rank of TT 662374976 :41
Rank of TT 1278722521 :41
Rank of TT 1451853051 :29
Rank of TT 453658075 :42
Rank of TT 1451853051 :29
Rank of TT 1451853051 :29
Rank of TT 1821172363 :42
Rank of TT 1451853051 :29
Rank of TT 662374976 :41
Rank of TT 1451853051 :29
Rank of TT 1278722521 :41
Rank of TT 662374976 :41
Rank of TT 1451853051 :29
Rank of TT 1443048184 :43
Rank of TT 662374976 :41
Rank of TT 1778561181 :32

Generation 2
Mutation Rate : 0.17550000000000013
Rank of TT 1821172363 :28
Rank of TT 1821172363 :28
Rank of TT 1821172363 :28
Rank of TT 1443048184 :43
Rank of TT 1443048184 :43
Rank of TT 662374976 :43
Rank of TT 662374976 :43
Rank of TT 662374976 :43
Rank of TT 1278722521 :43
Rank of TT 1443048184 :43
Rank of TT 1237934431 :43
Rank of TT 1821172363 :28
Rank of TT 559077170 :43
Rank of TT 1821172363 :28
Rank of TT 1821172363 :28
Rank of TT 662374976 :43
Rank of TT 1278722521 :43
Rank of TT 1821172363 :28
Rank of TT 1278722521 :43
Rank of TT 1821172363 :31
Rank of TT 1821172363 :31
